Display Name,Card Code
[5hy3.0] 映画「五等分の花嫁」,5hy3.0
[5hypb] プレミアムブースター 五等分の花嫁∽,5hypb
[prd] アニメ プリンセスコネクト！Re:Dive,prd
[prd2.0] アニメ プリンセスコネクト！Re:Dive Season 2,prd2.0
[knk] 彼女、お借りします,knk
[knk2.0] 彼女、お借りします Vol.2,knk2.0
[dbg] 神様になった日,dbg
[hol] ブースターパック ホロライブプロダクション,hol
[holtd] トライアルデッキ+ ホロライブプロダクション,holtd
[holpb] プレミアムブースター ホロライブプロダクション,holpb
[hol2.0] ホロライブプロダクション Vol.2,hol2.0
[holpb2.0] プレミアムブースター ホロライブプロダクション Summer Collection,holpb2.0
[holtd2.0] プレミアムセット ホロライブプロダクション feat.ヴァイスシュヴァルツアンバサダー,holtd2.0
[zls] ゾンビランドサガ リベンジ,zls
[kmd] 小林さんちのメイドラゴン,kmd
[hbr] ヘブンバーンズレッド,hbr
[hbr2.0] ヘブンバーンズレッド Vol.2,hbr2.0
[lrc] リコリス・リコイル,lrc
[lrcpb] プレミアムブースター リコリス・リコイル,lrcpb
[uma] ウマ娘 プリティーダービー,uma
[uma2.0] 劇場版『ウマ娘 プリティーダービー 新時代の扉』,uma2.0
[uma3.0] アニメ『ウマ娘 シンデレラグレイ』,uma3.0
[btr] ぼっち・ざ・ろっく！,btr
[ags] アリス・ギア・アイギス Expansion,ags
[ayt] あやかしトライアングル,ayt
[bav] ブルーアーカイブ,bav
[bav2.0] ブルーアーカイブ The Animation,bav2.0
[yrc] 『ゆるキャン△ SEASON３』,yrc
[ctb] 『キャプテン翼』,ctb
[gim] 学園アイドルマスター,gim
[amg] 甘神さんちの縁結び,amg
[aoh] あおぎり高校,aoh
[mki] 負けヒロインが多すぎる！,mki
[kms] きんいろモザイク 15th Anniversary,kms
[vrgext] VIRTUAL GIRL @ WORLD’S END,vrgext
[anm] anemoi,anm
[brd] ブラウンダスト2,brd
[p3] ペルソナ3,p3
[p3chronicle] ヴァイスシュヴァルツクロニクル ペルソナ3,p3chronicle
[p3rpb] プレミアムブースター ペルソナ３ リロード,p3rpb
[p4] ペルソナ4,p4
[animep4] TVアニメ「ペルソナ4」,animep4
[p5] ペルソナ5,p5
[p4ext] ペルソナ4 Extra,p4ext
[animep4ext1.0] TVアニメ「ペルソナ4」 Extra,animep4ext1.0
[p4uext1.0] P4U Extra,p4uext1.0
[pqext] ペルソナQ シャドウ オブ ザ ラビリンス Extra,pqext
[dg] 魔界戦記ディスガイア,dg
[dgext1.0] 魔界戦記ディスガイア4 Extra,dgext1.0
[dgd2ext] ディスガイアD2 Extra,dgd2ext
[fs] Fate/stay night,fs
[fh] Fate/hollow ataraxia Extra,fh
[fz] Fate/Zero,fz
[fsubw] Fate/stay night [Unlimited Blade Works],fsubw
[fsubw2.0] Fate/stay night [Unlimited Blade Works] Vol.II,fsubw2.0
[fzext] Fate/Zero Extra,fzext
[fshf] 劇場版「Fate/stay night [Heaven’s Feel]」,fshf
[fshf2.0] 劇場版「Fate/stay night [Heaven’s Feel]」Vol.2,fshf2.0
[fapo] Fate/Apocrypha,fapo
[fgo] Fate/Grand Order -絶対魔獣戦線バビロニア-,fgo
[fgo2.0] 劇場版 Fate/Grand Order -神聖円卓領域キャメロット-,fgo2.0
[fpi] Fate/kaleid liner プリズマ☆イリヤ Extra,fpi
[fpi2.0] Fate/kaleid liner プリズマ☆イリヤ ツヴァイ! Extra,fpi2.0
[fpi2.0helz] Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！,fpi2.0helz
[fpi3.0] Fate/kaleid liner プリズマ☆イリヤ ドライ!! Extra,fpi3.0
[fpi4.0] Fate/kaleid liner Prisma☆Illya プリズマ☆ファンタズム Extra,fpi4.0
[se] シャイニング・フォース イクサ,se
[sre] シャイニング・レゾナンス Extra,sre
[kf] THE KING OF FIGHTERS,kf
[kfpb] プレミアムブースター THE KING OF FIGHTERS,kfpb
[sb] 戦国BASARA,sb
[sbext1.0] TVアニメ 戦国BASARA弐 Extra,sbext1.0
[im] THE IDOLM@STER,im
[imd] THE IDOLM@STER Deary Stars Extra,imd
[im2.0] THE IDOLM@STER2,im2.0
[animeim] アニメ アイドルマスター,animeim
[imm] 劇場版「THE IDOLM@STER MOVIE 輝きの向こう側へ！」,imm
[im765proext] アイドルマスター ミニキャラパック 『765pro』 Extra,im765proext
[impset] パワーアップセット アイドルマスター,impset
[impb] プレミアムブースター アイドルマスター 765PRO ALLSTARS,impb
[ims] アイドルマスター ミリオンライブ!,ims
[ims2.0] アイドルマスター ミリオンライブ! Welcome to the New St@ge,ims2.0
[imspb] プレミアムブースター アイドルマスター ミリオンライブ!,imspb
[isc] ブースターパック「アイドルマスター シャイニーカラーズ」,isc
[isctd] トライアルデッキ+「アイドルマスター シャイニーカラーズ」,isctd
[isc2.0] アイドルマスター シャイニーカラーズ Shine More!,isc2.0
[iscpb] プレミアムブースター アイドルマスター シャイニーカラーズ,iscpb
[ft] FAIRY TAIL,ft
[ftext1.0] FAIRY TAIL Extra,ftext1.0
[ft2.0] FAIRY TAIL 100年クエスト,ft2.0
[mb] MELTY BLOOD,mb
[kk] 空の境界,kk
[eva] ヱヴァンゲリヲン新劇場版,eva
[tmh] 探偵オペラ ミルキィホームズ,tmh
[tmh2.0] 探偵オペラ ミルキィホームズ2,tmh2.0
[tmh2nd] 探偵オペラ ミルキィホームズ セカンドステージエディション,tmh2nd
[tmhext] 探偵オペラ ミルキィホームズ 怪盗帝国の逆襲 Extra,tmhext
[tmhext2.0] 探偵オペラ ミルキィホームズ G4の反撃 Extra,tmhext2.0
[tmhmovie] 劇場版 探偵オペラ ミルキィホームズ 〜逆襲のミルキィホームズ〜 Extra,tmhmovie
[tmhffpp] ミルキィホームズファンファンパーリーパック♪ Extra,tmhffpp
[tmhext3.0] ブシロード スリーブコレクションエクストラ 探偵オペラ ミルキィホームズ,tmhext3.0
[brext1.0] ブラック★ロックシューター Extra,brext1.0
[katanaext] 刀語 Extra,katanaext
[bake] 化物語,bake
[nisem] 偽物語,nisem
[monogatari2nd] &lt;物語&gt;シリーズ セカンドシーズン,monogatari2nd
[mfi] 劇場版マクロスF~虚空歌姫~,mfi
[mdepb] マクロスΔ,mdepb
[gc] ギルティクラウン,gc
[aw] アクセル・ワールド,aw
[awib] アクセル・ワールド -インフィニット・バースト-,awib
[sao] ソードアート・オンライン,sao
[sao2.0] ソードアート・オンライン vol.2,sao2.0
[saore] ソードアート・オンライン Re：Edit,saore
[saoos] 劇場版 ソードアート・オンライン -オーディナル・スケール-,saoos
[saoaz] ソードアート・オンライン アリシゼーション,saoaz
[saoaz2.0] ソードアート・オンライン アリシゼーション Vol.2,saoaz2.0
[sao10th] ソードアート・オンライン 10th Anniversary,sao10th
[sao10th2.0] アニメ ソードアート・オンライン 10th Anniversary,sao10th2.0
[sao2ext] ソードアート・オンラインII Extra,sao2ext
[sao2ext2.0] ソードアート・オンラインII Vol.2 Extra,sao2ext2.0
[ggo] ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,ggo
[ggoext] ソードアート・オンライン オルタナティブ ガンゲイル・オンラインII Extra,ggoext
[ca] CANAAN Extra,ca
[miku] 初音ミク -Project DIVA- f,miku
[miku2.0] 初音ミク -Project DIVA- f 2nd,miku2.0
[mikuext1.0] 初音ミク -Project DIVA- X HD Extra,mikuext1.0
[ppext] PSYCHO-PASS Extra,ppext
[gargan] 翠星のガルガンティア,gargan
[ds2ext] TVアニメ「デビルサバイバー2」 Extra,ds2ext
[kill] キルラキル,kill
[killpset] パワーアップセット キルラキル,killpset
[logho] ログ・ホライズン Extra,logho
[loghopset] パワーアップセット ログ・ホライズン,loghopset
[kancolle] 艦隊これくしょん -艦これ-,kancolle
[kancolle2.0] 艦隊これくしょん -艦これ- 第二艦隊,kancolle2.0
[kancolle3.0] 艦隊これくしょん -艦これ- 到着！欧州からの増派艦隊,kancolle3.0
[kancolle4.0] 艦隊これくしょん -艦これ-5th Phase,kancolle4.0
[kancolleext] 艦隊これくしょん -艦これ- 深海棲艦見ゆ Extra,kancolleext
[shinchan] クレヨンしんちゃん,shinchan
[shinchan2.0] 映画クレヨンしんちゃん,shinchan2.0
[gstext] 超爆裂異次元メンコバトル ギガントシューターつかさ Extra,gstext
[tf] テラフォーマーズ,tf
[aot] 進撃の巨人,aot
[aot2.0] 進撃の巨人 Vol.2,aot2.0
[sgs] スクールガールストライカーズ,sgs
[puyopuyo] ぷよぷよ,puyopuyo
[oms] おそ松さん,oms
[rinneext] 境界のRINNE Extra,rinneext
[kiznaiver] キズナイーバー,kiznaiver
[rz] Re：ゼロから始める異世界生活,rz
[rz2.0] Re：ゼロから始める異世界生活Vol.2,rz2.0
[rz3.0] Re:ゼロから始める異世界生活 Memory Snow,rz3.0
[rz4.0] Re:ゼロから始める異世界生活Vol.3,rz4.0
[rz5.0] Re:ゼロから始める異世界生活Vol.4,rz5.0
[rzext1.0] Re:ゼロから始める異世界生活 氷結の絆 Extra,rzext1.0
